entry_date,exit_date,top1,close_to_close_return,source,status
2016-03-21,2016-09-19,MSFT,0.07102667,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2016-09-19,2017-03-20,JNJ,0.10324874,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2017-03-20,2017-09-18,JPM,0.04374056,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2017-09-18,2018-03-19,MSFT,0.24793823,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2018-03-19,2018-09-24,MSFT,0.24459303,"Leto video table; raw Apr-2018 SEC snapshot also shows MSFT above AMZN",validated_live_tradable
2018-09-24,2019-03-18,MSFT,0.03411695,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2019-03-18,2019-09-23,AMZN,0.02476826,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2019-09-23,2020-03-23,MSFT,-0.01670702,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2020-03-23,2020-09-21,AAPL,0.97133294,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2020-09-21,2021-03-22,MSFT,0.17089360,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2021-03-22,2021-09-20,AAPL,0.16214641,"Leto video table; public holdings available before Monday open under ETF disclosure rules",validated_live_tradable
2021-09-20,2022-03-21,GOOGL,-0.01887259,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2022-03-21,2022-09-19,GOOGL,-0.24269744,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2022-09-19,2023-03-20,XOM,0.11662464,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2023-03-20,2023-09-18,XOM,0.16772606,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2023-09-18,2024-03-18,META,0.64438045,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2024-03-18,2024-09-23,NVDA,0.31456102,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2024-09-23,2025-03-24,AMZN,0.04838039,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2025-03-24,2025-09-22,NVDA,0.51250398,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2025-09-22,2026-03-23,AVGO,-0.04423112,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
2026-03-23,2026-08-12,NVDA,0.27733529,"Leto video table; Yahoo Adjusted Close recheck",validated_live_tradable
