rebalance_date,snapshot_date,exit_date,top1,reconstructed_top1_value,close_to_close_return,next_open_return,candidate_scope,source_accession,status,notes
2016-03-18,2016-04-30,2016-09-16,MSFT,231878.679578,0.0844970353,0.0897653424,"Legacy SEC Schedule of Investments reconstructed via Jina",0001193125-16-644489,sanity_pass,"Legacy parser ranks MSFT #1, META #2, AMZN #3; margin vs #2 about 52.76%"
2016-09-16,2016-10-31,2017-03-17,JNJ,106188.481566,0.0976588250,0.0964675773,"Legacy SEC Schedule of Investments reconstructed via Jina",0001193125-17-002614,sanity_pass,"Legacy reconstruction ranks JNJ #1, T #2, MSFT #3"
2017-03-17,2017-04-30,2017-09-15,JPM,100745.480339,0.0217614744,0.0298741667,"Legacy SEC Schedule of Investments reconstructed via Jina",0001193125-17-221822,sanity_pass,"Legacy reconstruction ranks JPM #1, BRK-B #2, BAC #3; margin vs #2 about 3.54%"
2019-09-20,2019-11-30,2020-03-20,MSFT,6172311.508978877,-0.0089374700,-0.0098993420,"Automated SEC NPORT holdings >=1.0% NAV",0001752724-20-015634,sanity_pass,"Automated Jina->SEC NPORT parser; ranks MSFT #1, PG #2, V #3"
2020-03-20,2020-05-31,2020-09-18,AAPL,2484503.0,0.8726637233,0.8416691799,"Automated SEC NPORT holdings >=1.5% NAV",0001752724-20-148736,sanity_pass,"Automated Jina->SEC NPORT parser; ranks AAPL #1, MSFT #2, V #3"
2020-09-18,2020-11-30,2021-03-19,MSFT,4848436.0,0.1551727059,0.1735107334,"Automated SEC NPORT holdings >=1.5% NAV",0001752724-21-016818,sanity_pass,"Automated Jina->SEC NPORT parser; ranks MSFT #1, AMZN #2, AAPL #3"
2021-03-19,2021-05-31,2021-09-17,AMZN,7306105.0,0.1260374499,0.1069641672,"Automated SEC NPORT holdings >=1.5% NAV",0001752724-21-161170,sanity_pass,"Very close reconstruction: AMZN #1, MSFT #2, AAPL #3; margin about 0.16% vs MSFT"
2021-09-17,2021-11-30,2022-03-18,GOOG,9520494.0,-0.0329553252,-0.0154868769,"Automated SEC NPORT holdings >=1.5% NAV",0001752724-22-018016,sanity_pass,"Automated Jina->SEC NPORT parser; ranks GOOG #1, GOOGL #2, BRK-B #3"
2022-03-18,2022-05-31,2022-09-16,GOOGL,6626589.0,-0.2448144291,-0.2527365058,"SEC snapshot holdings >=2% NAV",0001752724-22-170575,sanity_pass,"Matches article claim: Alphabet worst period about -24.3%; candidate reconstruction ranks GOOGL #1, GOOG #2, BRK-B #3"
2022-09-16,2022-11-30,2023-03-17,XOM,15956810.0,0.0880609501,0.1120188506,"SEC snapshot holdings >=2.73% NAV",0001752724-23-017322,sanity_pass,"Candidate reconstruction ranks XOM #1, BRK-B #2, UNH #3"
2023-03-17,2023-05-31,2023-09-15,XOM,16528012.1444,0.1886780652,0.1996553209,"SEC snapshot holdings >=2.38% NAV",0001752724-23-166926,sanity_pass,"Candidate reconstruction ranks XOM #1, MRK #2, LLY #3"
2023-09-15,2023-11-30,2024-03-15,META,22600130.0,0.6137110651,0.6514031761,"Canonical SEC SPMO schedule top candidates",0001752724-24-016913,sanity_pass,"Rebuilt from raw SPMO Schedule of Investments; ranks META #1, NVDA #2, LLY #3"
2024-03-15,2024-05-31,2024-09-20,NVDA,145684700.0,0.3208494187,0.2896571074,"SEC snapshot holdings >=3.7% NAV",0001752724-24-169075,sanity_pass,"Candidate reconstruction ranks NVDA #1, AAPL #2, AMZN #3"
2024-09-20,2024-11-30,2025-03-21,AMZN,371983700.0,0.0240605452,0.0436234640,"SEC snapshot holdings >=2% NAV",0001752724-25-017721,sanity_pass,"Candidate reconstruction ranks AMZN #1, NVDA #2, LLY #3"
2025-03-21,2025-05-31,2025-09-19,NVDA,645039600.0,0.5012083930,0.4624797629,"SEC snapshot holdings >=2% NAV",0001752724-25-180531,sanity_pass,"Candidate reconstruction ranks NVDA #1, AMZN #2, META #3"
2025-09-19,2025-11-30,2026-03-20,AVGO,1253912000.0,-0.0965466922,-0.0676142986,"SEC snapshot holdings >=2.47% NAV",0001378872-26-000314,sanity_pass,"Candidate reconstruction ranks AVGO #1, META #2, NVDA #3"
2026-03-20,2026-05-31,2026-08-14,NVDA,1376843000.0,0.3052833504,,"SEC snapshot holdings >=2.45% NAV",0001378872-26-001362,sanity_pass,"Current partial period through Aug 14; candidate reconstruction ranks NVDA #1, AVGO #2, GOOGL #3; next-open unavailable because subsequent trading day had not occurred"
